game_id,away_team_id,home_team_id,away_team_rest,home_team_rest
21800385,Minnesota,Portland,2,1
21800386,Miami,LA Clippers,B2B,2
21800387,New Orleans,Detroit,1,1
21800388,Milwaukee,Toronto,1,1
21800389,Charlotte,New York,1,3IN4-B2B
21800390,Utah,San Antonio,2,1
21800391,Washington,Indiana,1,3IN4
21800392,Detroit,Philadelphia,3IN4-B2B,2
21800393,New Orleans,Boston,3IN4-B2B,1
21800394,Sacramento,Chicago,3IN4,3IN4
21800395,Cleveland,Milwaukee,3IN4,3IN4-B2B
21800396,Utah,Oklahoma City,B2B,2
21800397,Orlando,Dallas,2,1
21800398,Memphis,Denver,3IN4,3IN4
21800399,LA Clippers,Phoenix,1,2
21800400,Minnesota,Golden State,1,2
21800401,Miami,LA Lakers,3IN4,3IN4
21800402,Portland,Houston,2,2
21800403,Phoenix,San Antonio,B2B,1
21800404,Toronto,LA Clippers,1,3IN4-B2B
21800405,Detroit,Charlotte,3IN4,2
21800406,New York,Cleveland,2,1
21800407,Milwaukee,Indiana,3IN4,1
21800408,Brooklyn,Philadelphia,3+,1
21800409,Boston,Washington,1,1
21800410,Portland,Memphis,B2B,1
21800411,Oklahoma City,New Orleans,1,3IN4
21800412,Atlanta,Dallas,3+,1
21800413,Miami,Utah,1,3IN4
21800414,Minnesota,Sacramento,1,1
21800415,Toronto,Golden State,3IN4-B2B,1
21800416,LA Lakers,Houston,2,1
21800417,LA Clippers,San Antonio,3IN4,1
21800418,Chicago,Orlando,2,2
21800419,Dallas,Phoenix,3IN4-B2B,3IN4
21800420,Atlanta,Boston,1,1
21800421,New York,Charlotte,1,1
21800422,Washington,Brooklyn,1,1
21800423,Milwaukee,Cleveland,1,1
21800424,Indiana,Philadelphia,1,1
21800425,Miami,Memphis,1,1
21800426,Oklahoma City,Denver,1,3+
21800427,Toronto,Portland,3IN4,3IN4
21800428,Golden State,Sacramento,1,1
21800429,Utah,Orlando,2,1
21800430,LA Lakers,Charlotte,1,3IN4-B2B
21800431,Boston,Detroit,3IN4-B2B,2
21800432,Houston,Memphis,1,3IN4-B2B
21800433,Chicago,San Antonio,1,1
21800434,LA Clippers,Oklahoma City,1,3IN4-B2B
21800435,Minnesota,Phoenix,2,1
21800436,Atlanta,Brooklyn,1,1
21800437,Philadelphia,Cleveland,1,1
21800438,New York,Indiana,1,1
21800439,LA Lakers,Washington,3IN4-B2B,1
21800440,Sacramento,Dallas,1,2
21800441,Miami,New Orleans,1,3+
21800442,Toronto,Denver,1,1
21800443,Milwaukee,Detroit,2,1
21800444,Phoenix,New York,1,3IN4-B2B
21800445,Utah,Houston,1,1
21800446,Sacramento,Minnesota,3IN4-B2B,1
21800447,Chicago,Oklahoma City,1,3IN4
21800448,Philadelphia,San Antonio,3IN4-B2B,1
21800449,Memphis,Golden State,3IN4,2
21800450,Portland,LA Clippers,2,1
21800451,Cleveland,Indiana,1,1
21800452,Washington,Atlanta,1,1
21800453,LA Lakers,Brooklyn,3IN4,1
21800454,Dallas,Denver,1,1
21800455,Cleveland,Charlotte,3IN4-B2B,3+
21800456,San Antonio,Orlando,1,3+
21800457,New York,Philadelphia,3IN4,3IN4
21800458,Phoenix,Boston,1,3+
21800459,Indiana,Toronto,3IN4-B2B,2
21800460,Brooklyn,Chicago,3IN4-B2B,1
21800461,Washington,Houston,3IN4-B2B,1
21800462,New Orleans,Milwaukee,2,1
21800463,Detroit,Minnesota,1,1
21800464,Golden State,Utah,1,1
21800465,Memphis,Portland,1,1
21800466,Oklahoma City,Sacramento,1,3IN4
21800467,Houston,Miami,3IN4-B2B,3+
21800468,Dallas,LA Clippers,1,2
21800469,Detroit,Charlotte,1,1
21800470,Cleveland,Toronto,3IN4,1
21800471,Indiana,Brooklyn,3IN4,3IN4
21800472,Atlanta,New York,2,1
21800473,Milwaukee,Boston,1,1
21800474,Orlando,Chicago,1,1
21800475,Minnesota,San Antonio,1,1
21800476,Utah,Portland,1,1
21800477,Memphis,Sacramento,1,1
21800478,New Orleans,LA Lakers,1,2
21800479,Denver,LA Clippers,3+,1
21800480,Phoenix,Washington,2,2
21800481,Toronto,Philadelphia,3IN4-B2B,2
21800482,Milwaukee,Miami,3IN4-B2B,1
21800483,San Antonio,Houston,3IN4-B2B,3IN4
21800484,Dallas,Golden State,1,2
21800485,Oklahoma City,Utah,2,3IN4-B2B
21800486,Atlanta,Detroit,1,1
21800487,Washington,Indiana,B2B,1
21800488,Charlotte,Boston,1,1
21800489,Phoenix,Brooklyn,B2B,1
21800490,Chicago,Cleveland,1,1
21800491,Miami,Orlando,3IN4-B2B,1
21800492,New Orleans,Sacramento,1,1
21800493,Minnesota,Oklahoma City,1,B2B
21800494,LA Clippers,Golden State,3IN4-B2B,B2B
21800495,Dallas,Portland,3IN4-B2B,1
21800496,Memphis,LA Lakers,1,1
21800497,Milwaukee,New York,2,3+
21800498,Oklahoma City,Houston,3IN4,2
21800499,Philadelphia,Boston,2,1
21800500,LA Lakers,Golden State,1,3IN4
21800501,Portland,Utah,1,2
21800502,Washington,Detroit,2,2
21800503,Phoenix,Orlando,2,2
21800504,Indiana,Atlanta,2,2
21800505,Charlotte,Brooklyn,2,2
21800506,Toronto,Miami,3+,2
21800507,Minnesota,Chicago,2,2
21800508,Cleveland,Memphis,2,2
21800509,New Orleans,Dallas,2,2
21800510,Denver,San Antonio,3+,3+
21800511,Sacramento,LA Clippers,2,2
21800512,Boston,Houston,1,1
21800513,New York,Milwaukee,1,1
21800514,LA Lakers,Sacramento,1,B2B
21800515,Philadelphia,Utah,1,1
21800516,Portland,Golden State,1,1
21800517,Brooklyn,Charlotte,1,1
21800518,Detroit,Indiana,1,1
21800519,Toronto,Orlando,1,1
21800520,Chicago,Washington,1,1
21800521,Cleveland,Miami,1,1
21800522,Atlanta,Minnesota,1,1
21800523,Dallas,New Orleans,1,1
21800524,San Antonio,Denver,1,1
21800525,Oklahoma City,Phoenix,2,1
21800526,LA Clippers,LA Lakers,1,3IN4-B2B
21800527,Brooklyn,Milwaukee,3IN4-B2B,1
21800528,Houston,New Orleans,1,3IN4-B2B
21800529,Cleveland,Atlanta,3IN4-B2B,3IN4-B2B
21800530,Charlotte,Washington,3IN4-B2B,3IN4-B2B
21800531,Boston,Memphis,1,2
21800532,New York,Utah,1,1
21800533,Denver,Phoenix,3IN4-B2B,3IN4-B2B
21800534,Golden State,Portland,1,1
21800535,San Antonio,LA Clippers,3IN4-B2B,3IN4-B2B
21800536,Detroit,Orlando,1,1
