DATASET,GAME ID,DATE,TIME,ROAD TEAM,HOME TEAM,TOTAL GAME MINUTES,ROAD TEAM FINAL SCORE,HOME TEAM FINAL SCORE,ROAD TEAM REST,HOME TEAM REST,BOX SCORE URL
NBA 2018-2019 Regular Season,0021800125,11/3/18,1:00 PM,Detroit,Philadelphia,240,99,109,2,1,Box Score
NBA 2018-2019 Regular Season,0021800126,11/3/18,7:00 PM,Cleveland,Charlotte,240,94,126,1,1,Box Score
NBA 2018-2019 Regular Season,0021800127,11/3/18,7:00 PM,Boston,Indiana,240,101,102,1,3IN4-B2B,Box Score
NBA 2018-2019 Regular Season,0021800128,11/3/18,7:30 PM,Miami,Atlanta,240,118,123,3+,1,Box Score
NBA 2018-2019 Regular Season,0021800129,11/3/18,8:00 PM,Houston,Chicago,240,96,88,B2B,3IN4-B2B,Box Score
NBA 2018-2019 Regular Season,0021800130,11/3/18,8:30 PM,New Orleans,San Antonio,240,95,109,3IN4,2,Box Score
NBA 2018-2019 Regular Season,0021800131,11/3/18,9:00 PM,Utah,Denver,240,88,103,3IN4-B2B,3IN4,Box Score
NBA 2018-2019 Regular Season,0021800132,11/3/18,10:00 PM,LA Lakers,Portland,240,114,110,2,1,Box Score
NBA 2018-2019 Regular Season,0021800133,11/4/18,3:30 PM,Sacramento,Milwaukee,240,109,144,2,2,Box Score
NBA 2018-2019 Regular Season,0021800134,11/4/18,6:00 PM,Philadelphia,Brooklyn,240,97,122,3IN4-B2B,1,Box Score
NBA 2018-2019 Regular Season,0021800135,11/4/18,6:00 PM,New York,Washington,240,95,108,1,1,Box Score
NBA 2018-2019 Regular Season,0021800136,11/4/18,8:00 PM,Memphis,Phoenix,240,100,102,1,1,Box Score
NBA 2018-2019 Regular Season,0021800137,11/4/18,7:00 PM,Orlando,San Antonio,240,117,110,1,B2B,Box Score
NBA 2018-2019 Regular Season,0021800138,11/4/18,9:00 PM,Minnesota,Portland,240,81,111,1,3IN4-B2B,Box Score
NBA 2018-2019 Regular Season,0021800139,11/4/18,9:30 PM,Toronto,LA Lakers,240,121,107,1,B2B,Box Score
NBA 2018-2019 Regular Season,0021800140,11/5/18,7:00 PM,Miami,Detroit,265,120,115,1,1,Box Score
NBA 2018-2019 Regular Season,0021800141,11/5/18,7:00 PM,Houston,Indiana,240,98,94,3IN4,3IN4,Box Score
NBA 2018-2019 Regular Season,0021800142,11/5/18,7:00 PM,Cleveland,Orlando,240,100,102,1,3IN4-B2B,Box Score
NBA 2018-2019 Regular Season,0021800143,11/5/18,7:30 PM,Chicago,New York,290,116,115,3IN4,3IN4-B2B,Box Score
NBA 2018-2019 Regular Season,0021800144,11/5/18,8:00 PM,New Orleans,Oklahoma City,240,116,122,1,2,Box Score
NBA 2018-2019 Regular Season,0021800145,11/5/18,9:00 PM,Boston,Denver,240,107,115,1,1,Box Score
NBA 2018-2019 Regular Season,0021800146,11/5/18,9:00 PM,Toronto,Utah,240,124,111,3IN4-B2B,3IN4,Box Score
NBA 2018-2019 Regular Season,0021800147,11/5/18,10:30 PM,Memphis,Golden State,240,101,117,3IN4-B2B,2,Box Score
NBA 2018-2019 Regular Season,0021800148,11/5/18,10:30 PM,Minnesota,LA Clippers,240,109,120,3IN4-B2B,2,Box Score
NBA 2018-2019 Regular Season,0021800149,11/6/18,7:00 PM,Atlanta,Charlotte,240,102,113,2,2,Box Score
NBA 2018-2019 Regular Season,0021800150,11/6/18,8:30 PM,Washington,Dallas,240,100,119,1,3+,Box Score
NBA 2018-2019 Regular Season,0021800151,11/6/18,9:00 PM,Brooklyn,Phoenix,240,104,82,1,1,Box Score
